Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP1,2035,0.5_0.5_0.5_0.5,3311674155517,1587312834954,271227125386,235085403862,1146031732648,95162154967,28548646490,21843130794,30378173552,21843130794,30378173552,52221304346,191102997
SSP1,2035,0.5_0.5_0.5_1,4443692527868,1592136803999,259399538092,289307100933,2230832026177,95162154967,28548646490,20856236161,31365068185,20856236161,31365068185,52221304346,191102997
SSP1,2035,0.5_0.5_0.5_5,13113399750174,1764906643209,76670759734,575222466293,10624582822271,95162154967,28548646490,5729354722,46491949624,5729354722,46491949624,52221304346,191102997
SSP1,2035,0.5_0.5_0.5_10,23650725783388,1868046141466,18508811799,646642938726,21045510832730,95162154967,28548646490,876318103,51344986243,876318103,51344986243,52221304346,191102997
SSP1,2035,0.5_0.5_1_0.5,3519791189138,1572803272710,395805458322,327614863994,1151550535444,95162154967,28548646490,30807137173,21414167173,30807137173,21414167173,52221304346,191102997
SSP1,2035,0.5_0.5_1_1,4670392337694,1571541919657,393140511455,335726654742,2297966193173,95162154967,28548646490,30584773837,21636530509,30584773837,21636530509,52221304346,191102997
SSP1,2035,0.5_0.5_1_5,13597586898607,1630193870473,243528240181,790614968071,10861232761216,95162154967,28548646490,18780255182,33441049164,18780255182,33441049164,52221304346,191102997
SSP1,2035,0.5_0.5_1_10,24266520627746,1800875088587,233455667646,1103506404799,21056666408046,95162154967,28548646490,6166339858,46054964487,6166339858,46054964487,52221304346,191102997
SSP1,2035,0.5_0.5_5_0.5,3633860376900,1726543724090,673264205204,1753905801,1160281483138,95162154967,28548646490,52053447757,167856589,52053447757,167856589,52221304346,191102997
SSP1,2035,0.5_0.5_5_1,4790721540927,1726418194218,679099306200,0,2313186981843,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_0.5_5_5,13923042974352,1755075008222,941390028287,0,11154560879177,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_0.5_5_10,24839411361985,1856520904925,1614462228614,0,21296411169780,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_0.5_10_0.5,3634128050005,1726418194218,679099306200,0,1156593490921,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_0.5_10_1,4790721540927,1726418194218,679099306200,0,2313186981843,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_0.5_10_5,13923042974352,1755075008222,941390028287,0,11154560879177,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_0.5_10_10,24839411361985,1856520904925,1614462228614,0,21296411169780,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_1_0.5_0.5,3463452463598,1785881291547,98679797286,364795745347,1142078570750,95162154967,28548646490,4116924267,48104380079,4116924267,48104380079,52221304346,191102997
SSP1,2035,0.5_1_0.5_1,4589714819623,1789927348743,92610258225,434399698866,2200760455123,95162154967,28548646490,3863702905,48357601441,3863702905,48357601441,52221304346,191102997
SSP1,2035,0.5_1_0.5_5,13128689706036,1881518389606,0,646656773379,10528497484385,95162154967,28548646490,0,52221304346,0,52221304346,52221304346,191102997
SSP1,2035,0.5_1_0.5_10,23652655007577,1879835408477,0,655291707704,21045510832730,95162154967,28548646490,0,52221304346,0,52221304346,52221304346,191102997
SSP1,2035,0.5_1_1_0.5,3789113390813,1647946446517,362684525670,556383268849,1150082091110,95162154967,28548646490,15131209895,37090094451,15131209895,37090094451,52221304346,191102997
SSP1,2035,0.5_1_1_1,4937722907649,1650290902488,353999524425,571793283712,2289622138356,95162154967,28548646490,14768871368,37452432977,14768871368,37452432977,52221304346,191102997
SSP1,2035,0.5_1_1_5,13747939784072,1801253422533,118817976782,1129265251796,10626586074294,95162154967,28548646490,4957089753,47264214592,4957089753,47264214592,52221304346,191102997
SSP1,2035,0.5_1_1_10,24294694191876,1908390166345,0,1257620558819,21056666408046,95162154967,28548646490,0,52221304346,0,52221304346,52221304346,191102997
SSP1,2035,0.5_1_5_0.5,4273236436359,1713307657215,1232068994769,31987701368,1223855024340,95162154967,28548646490,49159938990,3061365356,49159938990,3061365356,52221304346,191102997
SSP1,2035,0.5_1_5_1,5447649377521,1756997554311,1305447782700,0,2313186981843,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_1_5_5,14692113738188,1757006641219,1389270314891,0,11473819723411,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_1_5_10,25988647410908,1813104008065,1857866176918,0,22245660167259,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
SSP1,2035,0.5_1_10_0.5,4290461009348,1753230278373,1301424377568,3507811602,1160281483138,95162154967,28548646490,52053447757,167856589,52053447757,167856589,52221304346,191102997
SSP1,2035,0.5_1_10_1,5447649377521,1756997554311,1305447782700,0,2313186981843,95162154967,28548646490,52221304346,0,52221304346,0,52221304346,191102997
