Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP1,2020,1_0.5_10_0.5,3806540079663,2142810240362,661326692183,0,953600787751,79385707856,23620590778,43055989293,0,43055989293,0,43055989293,100314500
SSP1,2020,1_0.5_10_1,4756042530976,2149693443734,658988228248,0,1898558499626,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_0.5_10_5,12268863046371,2171822942743,842042592442,0,9206195151818,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_0.5_10_10,21286592920104,2259213615623,1345630091558,0,17632946853555,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_1_0.5_0.5,3680619524143,2121381510649,347902144890,221160672039,941372837196,79385707856,23706946712,14358708537,28610924822,14358708537,28610924822,42969633360,100314500
SSP1,2020,1_1_0.5_1,4608003960997,2124605180117,347902144890,260561312083,1826132964538,79385707856,23815712356,14358708537,28502159177,14358708537,28502159177,42860867715,100314500
SSP1,2020,1_1_0.5_5,11720253202325,2327849243480,133066433994,459224272036,8751310893446,79385707856,23815712356,5551535840,37309331875,5551535840,37309331875,42860867715,100314500
SSP1,2020,1_1_0.5_10,20402922294055,2502606170443,16919994240,533615737018,17300978032985,79385707856,23815712356,705902695,42154965019,705902695,42154965019,42860867715,100314500
SSP1,2020,1_1_1_0.5,3886652066903,2072915105115,437203755291,384080414999,943650432129,79385707856,23815712356,17654299115,25206568599,17654299115,25206568599,42860867715,100314500
SSP1,2020,1_1_1_1,4829380797409,2072233186378,438242493686,389625396046,1880477361931,79385707856,23815712356,17697635313,25163232401,17697635313,25163232401,42860867715,100314500
SSP1,2020,1_1_1_5,12135306861492,2145099507139,344223088030,698211006863,8898970900091,79385707856,23815712356,13774982653,29085885061,13774982653,29085885061,42860867715,100314500
SSP1,2020,1_1_1_10,20920574384025,2363213339439,125026592649,947936523009,17435595569560,79385707856,23815712356,4630097925,38230769789,4630097925,38230769789,42860867715,100314500
SSP1,2020,1_1_5_0.5,4335478072562,2153185840464,944353484842,115568454914,1073567932974,79385707856,23815712356,36473655649,6387212065,36473655649,6387212065,42860867715,100314500
SSP1,2020,1_1_5_1,5355155765087,2250915267909,1062790200689,30836986794,1961810950328,79385707856,23815712356,41160918433,1699949281,41160918433,1699949281,42860867715,100314500
SSP1,2020,1_1_5_5,12949226746689,2300312831561,1187675988545,0,9412435567215,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_1_5_10,22251353161107,2347538809303,1541609853331,0,18313402139106,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_1_10_0.5,4387481860303,2237030602854,1049259487265,50264157863,1002125252953,79385707856,23815712356,40455615931,2405251783,40455615931,2405251783,42860867715,100314500
SSP1,2020,1_1_10_1,5361676633656,2300548457947,1102891081192,3505374874,1905929360275,79385707856,23815712356,42693127728,167739986,42693127728,167739986,42860867715,100314500
SSP1,2020,1_1_10_5,12949226746689,2300312831561,1187675988545,0,9412435567215,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_1_10_10,22251353161107,2347538809303,1541609853331,0,18313402139106,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,1_5_0.5_0.5,3851458644903,2538815154365,0,324672567778,939168563392,79385707856,23706946712,0,42969633360,0,42969633360,42969633360,100314500
SSP1,2020,1_5_0.5_1,4775143210158,2542038823833,0,384210711188,1800091315769,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_0.5_5,11769388226277,2543825249562,0,535364657339,8641395960008,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_0.5_10,20406864976839,2543825249562,0,541211689020,17273025678889,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_1_0.5,4171920844790,2542838110858,0,639372257089,940908117474,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_1_1,5111860235853,2542560028983,0,646247183969,1874250663534,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_1_5,12303503686919,2550503805775,0,1062790313525,8641407208252,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_1_10,20944893118883,2550321657205,0,1063077299995,17282691802315,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_5_0.5,5639381305319,2653952776063,0,1271604657221,1665021512667,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_5_5_1,7160311255742,2532483115580,82206961863,1770153344262,2726665474668,79385707856,23815712356,685935410,42174932304,685935410,42174932304,42860867715,100314500
SSP1,2020,1_5_5_5,15179777947038,2502011167118,101711760743,3149977524468,9377275135340,79385707856,23815712356,848683575,42012184139,848683575,42012184139,42860867715,100314500
SSP1,2020,1_5_5_10,24413358187660,2520279450680,84599971201,3737066413731,18022609992680,79385707856,23815712356,705902695,42154965019,705902695,42154965019,42860867715,100314500
SSP1,2020,1_5_10_0.5,6623324144148,3288432124169,19504798879,1455339373216,1811245488516,79385707856,23815712356,162748165,42698119549,162748165,42698119549,42860867715,100314500
