Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP1,2060,0.5_0.5_0.5_0.5,4350745140189,1966264573204,372273221480,320755440917,1576159745999,125151644661,37545493398,30103565715,41666629838,30103565715,41666629838,71770195554,647142581
SSP1,2060,0.5_0.5_0.5_1,5907774243406,1971960653626,358131802537,393429354335,3068960274318,125151644661,37545493398,28923604823,42846590730,28923604823,42846590730,71770195554,647142581
SSP1,2060,0.5_0.5_0.5_5,17833850429885,2212695241142,107742148011,794728225986,14603392656156,125151644661,37545493398,8014459493,63755736061,8014459493,63755736061,71770195554,647142581
SSP1,2060,0.5_0.5_0.5_10,32315020168669,2353891407826,27028046277,895282355491,28923526200486,125151644661,37545493398,1279669732,70490525821,1279669732,70490525821,71770195554,647142581
SSP1,2060,0.5_0.5_1_0.5,4635615484738,1949052367639,539110105670,448573415326,1583587437513,125151644661,37545493398,42254300940,29515894613,42254300940,29515894613,71770195554,647142581
SSP1,2060,0.5_0.5_1_1,6217779582501,1947305481117,535522874055,459762175369,3159896893372,125151644661,37545493398,41954982107,29815213446,41954982107,29815213446,71770195554,647142581
SSP1,2060,0.5_0.5_1_5,18498363954709,2020615019685,339266962991,1080613045494,14942576767949,125151644661,37545493398,26362744358,45407451195,26362744358,45407451195,71770195554,647142581
SSP1,2060,0.5_0.5_1_10,33169684218078,2263299601112,326769340082,1524728054558,28939595063736,125151644661,37545493398,8489277023,63280918531,8489277023,63280918531,71770195554,647142581
SSP1,2060,0.5_0.5_5_0.5,4792415803963,2155638118127,923988425105,2557827335,1594939274806,125151644661,37545493398,71525400096,244795457,71525400096,244795457,71770195554,647142581
SSP1,2060,0.5_0.5_5_1,6382367019713,2155455050292,932498107220,0,3179121703612,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_0.5_5_5,18942458165915,2195727287125,1282905023862,0,15348533696339,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_0.5_5_10,33960820704014,2324571892418,2227475723177,0,29293480929830,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_0.5_10_0.5,4792806167907,2155455050292,932498107220,0,1589560851806,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_0.5_10_1,6382367019713,2155455050292,932498107220,0,3179121703612,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_0.5_10_5,18942458165915,2195727287125,1282905023862,0,15348533696339,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_0.5_10_10,33960820704014,2324571892418,2227475723177,0,29293480929830,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_1_0.5_0.5,4565179022000,2240939395788,140135786872,497649325379,1571162355371,125151644661,37545493398,5846469465,65923726088,5846469465,65923726088,71770195554,647142581
SSP1,2060,0.5_1_0.5_1,6114732749389,2245947684966,132563358476,593096050310,3027833497047,125151644661,37545493398,5530547513,66239648040,5530547513,66239648040,71770195554,647142581
SSP1,2060,0.5_1_0.5_5,17854328540491,2373444865607,0,895541054006,14470050462288,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_1_0.5_10,32317840706999,2371110368732,0,907911979192,28923526200486,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_1_1_0.5,5008258525942,2043400827348,518000604023,749866757060,1581698178922,125151644661,37545493398,21611001603,50159193951,21611001603,50159193951,71770195554,647142581
SSP1,2060,0.5_1_1_1,6588013044866,2045742896114,509023386994,768423584507,3149531018662,125151644661,37545493398,21236471824,50533723729,21236471824,50533723729,71770195554,647142581
SSP1,2060,0.5_1_1_5,18711378941309,2257029386875,173166121467,1552875873886,14613015400492,125151644661,37545493398,7224496071,64545699482,7224496071,64545699482,71770195554,647142581
SSP1,2060,0.5_1_1_10,33207173152342,2411164948824,0,1741120981192,28939595063736,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_1_5_0.5,5674220384056,2134228134036,1698436071520,44058980674,1682205039237,125151644661,37545493398,67553555054,4216640499,67553555054,4216640499,71770195554,647142581
SSP1,2060,0.5_1_5_1,7287482699875,2193562840492,1799505997182,0,3179121703612,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_1_5_5,19993848980190,2193573663654,1901914232545,0,15783068925401,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_1_5_10,35535312393651,2272436306876,2543545256702,0,30604038671484,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_1_10_0.5,5697054302450,2188068793225,1793638421159,5115654670,1594939274806,125151644661,37545493398,71525400096,244795457,71525400096,244795457,71770195554,647142581
SSP1,2060,0.5_1_10_1,7287482699875,2193562840492,1799505997182,0,3179121703612,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_1_10_5,19993848980190,2193573663654,1901914232545,0,15783068925401,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_1_10_10,35535312393651,2272436306876,2543545256702,0,30604038671484,125151644661,37545493398,71770195554,0,71770195554,0,71770195554,647142581
SSP1,2060,0.5_5_0.5_0.5,4592521173962,2367518405378,0,538548254624,1571162355371,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_0.5_1,6141320483638,2367153627939,0,641905791863,3016968905246,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_0.5_5,17854328540491,2373444865607,0,895541054006,14470050462288,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_0.5_10,32317840706999,2371110368732,0,907911979192,28923526200486,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_1_0.5,5125563862389,2369152461376,0,1063191791514,1577927450910,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_1_1,6701946433193,2368879462694,0,1075450101169,3142324710742,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_1_5,18737253822583,2405697506942,0,1746286652319,14469977504733,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_1_10,33207173152342,2411164948824,0,1741120981192,28939595063736,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_5_0.5,7364104677776,2894196460883,0,1399408631312,2955207426992,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
SSP1,2060,0.5_5_5_1,10082875255214,2442494649740,0,2807773650317,4717314796568,125151644661,37545493398,0,71770195554,0,71770195554,71770195554,647142581
