Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP1,2035,1_1_1_10,191102997,152882398,8697380224592,8863436359142,166056134550,109306807,7412812186,493850986,816228903,4712232761,2450981218,8666431208,141394290478,511492339,148256243,19250699,83105188,260880207,83105188,260880207,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,30.63399887084961
SSP1,2035,1_10_1_1,191102997,152882398,8825716552409,8863436359142,37719806733,109306807,7412812186,493850986,0,7541194936,0,7191624586,14971017229,511492339,148256243,19250699,0,343985396,0,343985396,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,30.2309627532959
SSP1,2035,10_1_1_1,191102997,152882398,8784508660301,8863436359142,78927698840,109306807,7412812186,4938509860,21600246102,19060232556,8402172810,2528027484,14876391032,511492339,148256243,19250699,182425698,161559697,182425698,161559697,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,28.949981689453125
SSP1,2040,1_1_0.5_1,243901232,195120986,13231614730255,13271429907489,39815177233,144320760,6724114933,608601733,960949563,6643247814,2338456833,3416135455,18979350139,597216628,134482298,23712110,97560493,341461726,97560493,341461726,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,27.007963180541992
SSP1,2040,1_1_1_1,243901232,195120986,13228484026803,13271429907489,42945880685,144320760,6724114933,608601733,1231979450,6116529564,3292033415,5800649793,19027651032,597216628,134482298,23712110,119870680,319151538,119870680,319151538,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,24.071001052856445
SSP1,2040,1_1_1_10,243901232,195120986,13061728910606,13271429907489,209700996882,144320760,6724114933,608601733,1305082255,6047038965,3315963712,11008532457,180547342064,597216628,134482298,23712110,116209420,322812799,116209420,322812799,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,25.6650333404541
SSP1,2040,1_10_1_1,243901232,195120986,13225468509788,13271429907489,45961397700,144320760,6724114933,608601733,0,10366558161,0,8971814648,19145987462,597216628,134482298,23712110,0,439022219,0,439022219,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,24.71201515197754
SSP1,2040,10_1_1_1,243901232,195120986,13170196651312,13271429907489,101233256176,144320760,6724114933,6086017336,30857977510,23407174170,12026550744,2984514712,19002586008,597216628,134482298,23712110,243379841,195642377,243379841,195642377,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,4.222963333129883
SSP1,2045,1_1_0.5_1,311286646,249029317,19841312950135,19890876282253,49563332117,189417019,6649235387,749052622,1309034605,9131189823,2984529341,4291232437,24259640879,722493150,132984707,29192478,124514658,435801305,124514658,435801305,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,24.712995529174805
SSP1,2045,1_1_1_1,311286646,249029317,19837344943325,19890876282253,53531338927,189417019,6649235387,749052622,1633573214,8408372962,4169665790,7463777196,24268244733,722493150,132984707,29192478,152287465,408028498,152287465,408028498,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,25.75397109985352
