,ToRiver_0,ToRiver_1,ToRiver_2,ToRiver_3,ToRiver_4,ToRiver_5,ToRiver_6,ToRiver_7,ToRiver_8,ToRiver_9,ToRail_0,ToRail_1,ToRail_2,ToRail_3,ToRail_4,ToRail_5,X_Facility
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325122148.23974526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305749844.6897453,0.0,142105535.46846223
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292834975.6597452,0.0,142105535.46846226
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279920106.61974525,0.0,142105535.46846226
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312207279.2097453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846223
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241175499.51974526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247632934.0397453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846223
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982841175.3200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535800882.78
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305749844.6897453,0.0,142105535.46846223
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292834975.6597452,0.0,142105535.46846226
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279920106.61974525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260547803.06974527,0.0,142105535.46846226
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273462672.10974526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273462672.10974526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254090368.5497453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846223
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267005237.58974525,0.0,142105535.46846226
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215345761.44974527,0.0,142105535.46846226
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208888326.9297453,0.0,142105535.46846223
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325122148.23974526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228260630.47974524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982841175.3200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535800882.78
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247632934.0397453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846223
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305749844.6897453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846223
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221803195.96974525,0.0,142105535.46846226
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208888326.9297453,0.0,142105535.46846223
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267005237.58974525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279920106.61974525,0.0,142105535.46846226
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228260630.47974524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279920106.61974525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305749844.6897453,0.0,142105535.46846223
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325122148.23974526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221803195.96974525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318664713.72974527,0.0,142105535.46846226
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201590989.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535800882.78000003
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234718064.99974528,0.0,142105535.46846223
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260547803.06974527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318664713.72974527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234718064.99974528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846223
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260547803.06974527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202430892.4197453,0.0,142105535.46846226
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318664713.72974527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142105535.46846226
